1631876267.371,904.0,904.0
1631876267.674,905.0,904.0
1631876267.973,905.0,904.0
1631876268.272,906.0,904.0
1631876268.575,906.0,905.0
1631876268.874,905.0,904.0
1631876269.173,904.0,905.0
1631876269.472,905.0,904.0
1631876269.775,905.0,904.0
1631876270.074,904.0,905.0
1631876270.373,905.0,904.0
1631876270.676,905.0,905.0
1631876270.975,904.0,905.0
1631876271.274,907.0,904.0
1631876271.577,905.0,905.0
1631876271.876,905.0,904.0
1631876272.175,907.0,904.0
1631876272.478,904.0,905.0
1631876272.777,904.0,905.0
1631876273.076,903.0,905.0
1631876273.375,904.0,904.0
1631876273.678,906.0,904.0
1631876273.977,904.0,904.0
1631876274.276,905.0,904.0
1631876274.579,904.0,904.0
1631876274.878,904.0,904.0
1631876275.177,905.0,904.0
1631876275.48,905.0,904.0
1631876275.779,904.0,904.0
1631876276.078,904.0,904.0
1631876276.381,907.0,904.0
1631876276.68,905.0,904.0
1631876276.979,905.0,904.0
1631876277.279,905.0,904.0
1631876277.581,905.0,904.0
1631876277.881,903.0,904.0
1631876278.18,904.0,904.0
1631876278.483,904.0,904.0
1631876278.782,905.0,904.0
1631876279.081,904.0,904.0
1631876279.384,903.0,904.0
1631876279.683,904.0,904.0
1631876279.982,904.0,904.0
1631876280.285,905.0,904.0
1631876280.584,903.0,904.0
1631876280.883,906.0,903.0
1631876281.182,905.0,904.0
1631876281.485,905.0,904.0
1631876281.784,904.0,904.0
1631876282.083,904.0,904.0
1631876282.386,904.0,904.0
1631876282.685,905.0,904.0
1631876282.984,904.0,904.0
1631876283.287,907.0,904.0
1631876283.586,903.0,904.0
1631876283.885,904.0,904.0
1631876284.188,905.0,904.0
1631876284.487,903.0,904.0
1631876284.786,904.0,904.0
1631876285.089,904.0,904.0
1631876285.388,907.0,904.0
1631876285.687,904.0,904.0
1631876285.986,904.0,904.0
1631876286.289,903.0,904.0
1631876286.588,904.0,904.0
1631876286.887,905.0,904.0
1631876287.19,904.0,904.0
1631876287.489,904.0,904.0
1631876287.788,904.0,904.0
1631876288.091,904.0,904.0
1631876288.39,904.0,904.0
1631876288.689,906.0,904.0
1631876288.992,904.0,904.0
1631876289.291,904.0,904.0
1631876289.59,903.0,904.0
1631876289.89,904.0,904.0
1631876290.192,904.0,904.0
1631876290.491,904.0,904.0
